command,intent,target_type,attribute,spatial_relation,spatial_reference,position
scroll down to orange menu below the help,scroll,menu,orange,below,help,NONE
long-press the 2nd blue button above the search,long-press,button,blue,above,search,2nd
open link to the left of the menu,open,link,NONE,left_of,menu,NONE
press switch,click,switch,NONE,NONE,NONE,NONE
press and hold pink button next to the help,long-press,button,pink,next_to,help,NONE
paste red text to the left of the settings,paste,text,red,left_of,settings,NONE
scroll to menu to the right of the profile,scroll,menu,NONE,right_of,profile,NONE
copy black text above the search,copy,text,black,above,search,NONE
tap on button above the menu,tap,button,NONE,above,menu,NONE
tap on the 3rd orange link below the menu,tap,link,orange,below,menu,3rd
paste black text below the menu,paste,text,black,below,menu,NONE
paste the last text above the home,paste,text,NONE,above,home,last
scroll down to purple menu to the right of the search,scroll,menu,purple,right_of,search,NONE
tap on tab,tap,tab,NONE,NONE,NONE,NONE
press image to the left of the wi-fi,click,image,NONE,left_of,wi-fi,NONE
scroll to the 3rd red tab below the address,scroll,tab,red,below,address,3rd
tap switch,tap,switch,NONE,NONE,NONE,NONE
open link,open,link,NONE,NONE,NONE,NONE
trash the 3rd gray button to the left of the help,delete,button,gray,left_of,help,3rd
tap the 1st checkbox above the last item,tap,checkbox,NONE,above,last item,1st
select the 3rd icon above the home,click,icon,NONE,above,home,3rd
copy text to the left of the last item,copy,text,NONE,left_of,last item,NONE
paste the 3rd text above the last item,paste,text,NONE,above,last item,3rd
select the 2nd checkbox to the right of the login,click,checkbox,NONE,right_of,login,2nd
tap on icon to the left of the search,tap,icon,NONE,left_of,search,NONE
press and hold the 1st purple image,long-press,image,purple,NONE,NONE,1st
copy text,copy,text,NONE,NONE,NONE,NONE
copy the 2nd text,copy,text,NONE,NONE,NONE,2nd
paste text,paste,text,NONE,NONE,NONE,NONE
press and hold yellow button,long-press,button,yellow,NONE,NONE,NONE
scroll down to the last tab to the right of the profile,scroll,tab,NONE,right_of,profile,last
select yellow icon to the left of the menu,click,icon,yellow,left_of,menu,NONE
scroll to menu below the settings,scroll,menu,NONE,below,settings,NONE
press and hold image to the left of the search,long-press,image,NONE,left_of,search,NONE
launch the 3rd button to the left of the notifications,open,button,NONE,left_of,notifications,3rd
tap link,tap,link,NONE,NONE,NONE,NONE
click on the last blue button,click,button,blue,NONE,NONE,last
paste purple text below the menu,paste,text,purple,below,menu,NONE
delete text next to the help,delete,text,NONE,next_to,help,NONE
delete text next to the last item,delete,text,NONE,next_to,last item,NONE
scroll to blue menu,scroll,menu,blue,NONE,NONE,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
launch tab above the wi-fi,open,tab,NONE,above,wi-fi,NONE
long-press yellow image to the left of the search,long-press,image,yellow,left_of,search,NONE
press and hold white button above the search,long-press,button,white,above,search,NONE
launch black button below the checkout,open,button,black,below,checkout,NONE
long-press the 2nd button,long-press,button,NONE,NONE,NONE,2nd
remove button,delete,button,NONE,NONE,NONE,NONE
remove text,delete,text,NONE,NONE,NONE,NONE
tap on icon to the right of the settings,tap,icon,NONE,right_of,settings,NONE
trash gray button,delete,button,gray,NONE,NONE,NONE
launch tab to the left of the payment,open,tab,NONE,left_of,payment,NONE
scroll to text to the left of the last item,scroll,text,NONE,left_of,last item,NONE
paste text to the left of the cart,paste,text,NONE,left_of,cart,NONE
paste the 2nd red text,paste,text,red,NONE,NONE,2nd
launch menu to the left of the settings,open,menu,NONE,left_of,settings,NONE
delete orange text to the right of the notifications,delete,text,orange,right_of,notifications,NONE
tap orange button,tap,button,orange,NONE,NONE,NONE
remove image,delete,image,NONE,NONE,NONE,NONE
tap button,tap,button,NONE,NONE,NONE,NONE
press and hold image to the left of the login,long-press,image,NONE,left_of,login,NONE
launch the 1st pink link to the left of the first email,open,link,pink,left_of,first email,1st
copy text next to the last item,copy,text,NONE,next_to,last item,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
tap tab,tap,tab,NONE,NONE,NONE,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
tap on link to the left of the profile,tap,link,NONE,left_of,profile,NONE
open menu above the last item,open,menu,NONE,above,last item,NONE
tap on link next to the search,tap,link,NONE,next_to,search,NONE
select the 2nd image to the left of the address,click,image,NONE,left_of,address,2nd
copy text next to the home,copy,text,NONE,next_to,home,NONE
click the 3rd switch,click,switch,NONE,NONE,NONE,3rd
copy text below the wi-fi,copy,text,NONE,below,wi-fi,NONE
scroll down to menu,scroll,menu,NONE,NONE,NONE,NONE
scroll down to the 3rd tab to the left of the search,scroll,tab,NONE,left_of,search,3rd
paste text,paste,text,NONE,NONE,NONE,NONE
copy the 3rd text,copy,text,NONE,NONE,NONE,3rd
select button above the search,click,button,NONE,above,search,NONE
scroll to tab,scroll,tab,NONE,NONE,NONE,NONE
copy gray text below the home,copy,text,gray,below,home,NONE
paste text,paste,text,NONE,NONE,NONE,NONE
delete button below the last item,delete,button,NONE,below,last item,NONE
launch menu to the left of the address,open,menu,NONE,left_of,address,NONE
paste red text,paste,text,red,NONE,NONE,NONE
tap on button,tap,button,NONE,NONE,NONE,NONE
click orange icon below the checkout,click,icon,orange,below,checkout,NONE
long-press text next to the settings,long-press,text,NONE,next_to,settings,NONE
scroll down to the 3rd green menu,scroll,menu,green,NONE,NONE,3rd
paste the 3rd text to the right of the login,paste,text,NONE,right_of,login,3rd
press and hold image to the left of the home,long-press,image,NONE,left_of,home,NONE
scroll to tab to the right of the cart,scroll,tab,NONE,right_of,cart,NONE
open the 1st red button to the left of the notifications,open,button,red,left_of,notifications,1st
scroll down to tab,scroll,tab,NONE,NONE,NONE,NONE
tap the 3rd checkbox next to the settings,tap,checkbox,NONE,next_to,settings,3rd
trash the 3rd button next to the wi-fi,delete,button,NONE,next_to,wi-fi,3rd
remove image above the checkout,delete,image,NONE,above,checkout,NONE
open button,open,button,NONE,NONE,NONE,NONE
tap the 3rd link,tap,link,NONE,NONE,NONE,3rd
click link above the settings,click,link,NONE,above,settings,NONE
scroll down to menu below the search,scroll,menu,NONE,below,search,NONE
click on the last button,click,button,NONE,NONE,NONE,last
tap black checkbox below the wi-fi,tap,checkbox,black,below,wi-fi,NONE
paste text,paste,text,NONE,NONE,NONE,NONE
trash text below the address,delete,text,NONE,below,address,NONE
scroll to yellow menu next to the cart,scroll,menu,yellow,next_to,cart,NONE
copy text above the first email,copy,text,NONE,above,first email,NONE
launch purple icon to the left of the cart,open,icon,purple,left_of,cart,NONE
scroll to menu to the right of the notifications,scroll,menu,NONE,right_of,notifications,NONE
scroll to the 3rd menu to the right of the checkout,scroll,menu,NONE,right_of,checkout,3rd
select link above the payment,click,link,NONE,above,payment,NONE
paste yellow text to the left of the checkout,paste,text,yellow,left_of,checkout,NONE
click text to the right of the address,click,text,NONE,right_of,address,NONE
remove blue text to the left of the address,delete,text,blue,left_of,address,NONE
tap tab,tap,tab,NONE,NONE,NONE,NONE
copy text next to the first email,copy,text,NONE,next_to,first email,NONE
scroll down to black text to the left of the profile,scroll,text,black,left_of,profile,NONE
scroll to tab,scroll,tab,NONE,NONE,NONE,NONE
delete black image,delete,image,black,NONE,NONE,NONE
remove white text,delete,text,white,NONE,NONE,NONE
scroll down to purple menu above the notifications,scroll,menu,purple,above,notifications,NONE
click gray link above the first email,click,link,gray,above,first email,NONE
paste the last text next to the search,paste,text,NONE,next_to,search,last
press and hold icon below the cart,long-press,icon,NONE,below,cart,NONE
tap link,tap,link,NONE,NONE,NONE,NONE
copy the 2nd blue text,copy,text,blue,NONE,NONE,2nd
paste the last red text below the search,paste,text,red,below,search,last
trash the 3rd image above the wi-fi,delete,image,NONE,above,wi-fi,3rd
paste text,paste,text,NONE,NONE,NONE,NONE
copy pink text,copy,text,pink,NONE,NONE,NONE
scroll to the 3rd text to the left of the login,scroll,text,NONE,left_of,login,3rd
long-press text to the left of the last item,long-press,text,NONE,left_of,last item,NONE
scroll down to the last black tab below the notifications,scroll,tab,black,below,notifications,last
launch tab below the first email,open,tab,NONE,below,first email,NONE
open red icon below the payment,open,icon,red,below,payment,NONE
scroll down to the 3rd text,scroll,text,NONE,NONE,NONE,3rd
paste text below the menu,paste,text,NONE,below,menu,NONE
press switch to the right of the notifications,click,switch,NONE,right_of,notifications,NONE
long-press icon to the left of the payment,long-press,icon,NONE,left_of,payment,NONE
remove button next to the payment,delete,button,NONE,next_to,payment,NONE
remove button,delete,button,NONE,NONE,NONE,NONE
open the 1st tab,open,tab,NONE,NONE,NONE,1st
press and hold red image to the left of the menu,long-press,image,red,left_of,menu,NONE
scroll down to tab below the notifications,scroll,tab,NONE,below,notifications,NONE
tap on yellow link below the settings,tap,link,yellow,below,settings,NONE
copy black text below the login,copy,text,black,below,login,NONE
scroll to text next to the profile,scroll,text,NONE,next_to,profile,NONE
tap on red checkbox,tap,checkbox,red,NONE,NONE,NONE
scroll down to the 1st white text above the search,scroll,text,white,above,search,1st
copy the 3rd text to the left of the last item,copy,text,NONE,left_of,last item,3rd
copy text,copy,text,NONE,NONE,NONE,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
copy the 2nd gray text next to the login,copy,text,gray,next_to,login,2nd
paste text above the notifications,paste,text,NONE,above,notifications,NONE
launch button above the cart,open,button,NONE,above,cart,NONE
tap button,tap,button,NONE,NONE,NONE,NONE
copy the 3rd black text above the search,copy,text,black,above,search,3rd
paste the 2nd text,paste,text,NONE,NONE,NONE,2nd
paste text to the right of the address,paste,text,NONE,right_of,address,NONE
open the 3rd menu,open,menu,NONE,NONE,NONE,3rd
remove text to the left of the address,delete,text,NONE,left_of,address,NONE
paste the last text,paste,text,NONE,NONE,NONE,last
open button to the left of the first email,open,button,NONE,left_of,first email,NONE
launch the last black tab below the settings,open,tab,black,below,settings,last
long-press image,long-press,image,NONE,NONE,NONE,NONE
tap icon,tap,icon,NONE,NONE,NONE,NONE
long-press the 2nd button below the first email,long-press,button,NONE,below,first email,2nd
tap the 1st tab to the right of the wi-fi,tap,tab,NONE,right_of,wi-fi,1st
paste text,paste,text,NONE,NONE,NONE,NONE
long-press yellow button above the search,long-press,button,yellow,above,search,NONE
click on orange text,click,text,orange,NONE,NONE,NONE
copy text above the login,copy,text,NONE,above,login,NONE
open link to the right of the cart,open,link,NONE,right_of,cart,NONE
tap switch,tap,switch,NONE,NONE,NONE,NONE
tap on the 2nd pink icon,tap,icon,pink,NONE,NONE,2nd
launch link next to the address,open,link,NONE,next_to,address,NONE
paste blue text above the first email,paste,text,blue,above,first email,NONE
trash the last button to the right of the notifications,delete,button,NONE,right_of,notifications,last
press gray button below the home,click,button,gray,below,home,NONE
tap on pink tab below the profile,tap,tab,pink,below,profile,NONE
scroll to menu next to the menu,scroll,menu,NONE,next_to,menu,NONE
tap the 3rd orange icon to the right of the checkout,tap,icon,orange,right_of,checkout,3rd
trash text below the profile,delete,text,NONE,below,profile,NONE
copy white text above the checkout,copy,text,white,above,checkout,NONE
scroll to tab next to the cart,scroll,tab,NONE,next_to,cart,NONE
paste the 1st text,paste,text,NONE,NONE,NONE,1st
launch yellow tab,open,tab,yellow,NONE,NONE,NONE
copy text to the right of the login,copy,text,NONE,right_of,login,NONE
click on button,click,button,NONE,NONE,NONE,NONE
tap on link above the payment,tap,link,NONE,above,payment,NONE
launch the last link above the search,open,link,NONE,above,search,last
trash image above the payment,delete,image,NONE,above,payment,NONE
open icon,open,icon,NONE,NONE,NONE,NONE
press and hold red text,long-press,text,red,NONE,NONE,NONE
select the last text below the payment,click,text,NONE,below,payment,last
press and hold the 1st image next to the checkout,long-press,image,NONE,next_to,checkout,1st
copy pink text,copy,text,pink,NONE,NONE,NONE
paste black text above the checkout,paste,text,black,above,checkout,NONE
scroll to text to the left of the profile,scroll,text,NONE,left_of,profile,NONE
open the 1st icon to the left of the wi-fi,open,icon,NONE,left_of,wi-fi,1st
click purple icon below the cart,click,icon,purple,below,cart,NONE
tap icon,tap,icon,NONE,NONE,NONE,NONE
scroll to text to the right of the notifications,scroll,text,NONE,right_of,notifications,NONE
copy the 3rd text below the search,copy,text,NONE,below,search,3rd
copy the 1st white text next to the address,copy,text,white,next_to,address,1st
tap link,tap,link,NONE,NONE,NONE,NONE
tap on checkbox to the right of the address,tap,checkbox,NONE,right_of,address,NONE
paste blue text to the left of the wi-fi,paste,text,blue,left_of,wi-fi,NONE
launch the last pink menu,open,menu,pink,NONE,NONE,last
click on the 2nd link to the right of the payment,click,link,NONE,right_of,payment,2nd
scroll to gray tab to the right of the login,scroll,tab,gray,right_of,login,NONE
scroll to menu to the left of the notifications,scroll,menu,NONE,left_of,notifications,NONE
paste text below the payment,paste,text,NONE,below,payment,NONE
press and hold button to the right of the last item,long-press,button,NONE,right_of,last item,NONE
paste text,paste,text,NONE,NONE,NONE,NONE
paste the last white text,paste,text,white,NONE,NONE,last
trash button,delete,button,NONE,NONE,NONE,NONE
remove the 2nd gray text next to the payment,delete,text,gray,next_to,payment,2nd
remove text to the right of the search,delete,text,NONE,right_of,search,NONE
paste text above the menu,paste,text,NONE,above,menu,NONE
long-press the 1st gray text to the left of the cart,long-press,text,gray,left_of,cart,1st
paste blue text above the profile,paste,text,blue,above,profile,NONE
remove text above the payment,delete,text,NONE,above,payment,NONE
scroll down to text next to the notifications,scroll,text,NONE,next_to,notifications,NONE
remove button below the checkout,delete,button,NONE,below,checkout,NONE
scroll to the 2nd text,scroll,text,NONE,NONE,NONE,2nd
scroll down to the last text,scroll,text,NONE,NONE,NONE,last
tap on button next to the settings,tap,button,NONE,next_to,settings,NONE
delete image above the search,delete,image,NONE,above,search,NONE
delete image to the left of the payment,delete,image,NONE,left_of,payment,NONE
scroll down to menu next to the last item,scroll,menu,NONE,next_to,last item,NONE
trash image,delete,image,NONE,NONE,NONE,NONE
copy the last text,copy,text,NONE,NONE,NONE,last
remove text to the right of the address,delete,text,NONE,right_of,address,NONE
copy text above the address,copy,text,NONE,above,address,NONE
launch orange button,open,button,orange,NONE,NONE,NONE
select white tab to the right of the address,click,tab,white,right_of,address,NONE
tap gray icon,tap,icon,gray,NONE,NONE,NONE
scroll to menu,scroll,menu,NONE,NONE,NONE,NONE
open button to the left of the payment,open,button,NONE,left_of,payment,NONE
paste pink text,paste,text,pink,NONE,NONE,NONE
launch purple menu below the last item,open,menu,purple,below,last item,NONE
tap on button,tap,button,NONE,NONE,NONE,NONE
tap the last white button,tap,button,white,NONE,NONE,last
tap on tab,tap,tab,NONE,NONE,NONE,NONE
press the last text below the search,click,text,NONE,below,search,last
delete the 1st image to the left of the address,delete,image,NONE,left_of,address,1st
press and hold the 3rd text,long-press,text,NONE,NONE,NONE,3rd
scroll to text above the payment,scroll,text,NONE,above,payment,NONE
tap on tab above the checkout,tap,tab,NONE,above,checkout,NONE
click on button,click,button,NONE,NONE,NONE,NONE
open menu to the left of the help,open,menu,NONE,left_of,help,NONE
tap on the 2nd button to the right of the home,tap,button,NONE,right_of,home,2nd
long-press button next to the first email,long-press,button,NONE,next_to,first email,NONE
press and hold the 3rd icon to the left of the address,long-press,icon,NONE,left_of,address,3rd
long-press the last black button to the right of the help,long-press,button,black,right_of,help,last
copy text to the left of the login,copy,text,NONE,left_of,login,NONE
scroll down to white menu above the payment,scroll,menu,white,above,payment,NONE
paste blue text to the right of the menu,paste,text,blue,right_of,menu,NONE
open the last link below the last item,open,link,NONE,below,last item,last
select the last text,click,text,NONE,NONE,NONE,last
paste text next to the address,paste,text,NONE,next_to,address,NONE
copy white text to the right of the address,copy,text,white,right_of,address,NONE
scroll down to menu next to the last item,scroll,menu,NONE,next_to,last item,NONE
long-press image next to the first email,long-press,image,NONE,next_to,first email,NONE
remove the 2nd gray text to the left of the cart,delete,text,gray,left_of,cart,2nd
remove image,delete,image,NONE,NONE,NONE,NONE
scroll down to tab,scroll,tab,NONE,NONE,NONE,NONE
select image,click,image,NONE,NONE,NONE,NONE
open button to the right of the last item,open,button,NONE,right_of,last item,NONE
paste text to the right of the help,paste,text,NONE,right_of,help,NONE
scroll to tab to the right of the settings,scroll,tab,NONE,right_of,settings,NONE
paste white text,paste,text,white,NONE,NONE,NONE
remove button,delete,button,NONE,NONE,NONE,NONE
click the last purple link to the right of the login,click,link,purple,right_of,login,last
press checkbox,click,checkbox,NONE,NONE,NONE,NONE
tap on the 2nd icon,tap,icon,NONE,NONE,NONE,2nd
copy text to the right of the checkout,copy,text,NONE,right_of,checkout,NONE
tap on white tab next to the first email,tap,tab,white,next_to,first email,NONE
delete text above the profile,delete,text,NONE,above,profile,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
open icon next to the checkout,open,icon,NONE,next_to,checkout,NONE
press image,click,image,NONE,NONE,NONE,NONE
open the 1st icon below the payment,open,icon,NONE,below,payment,1st
tap the last gray switch next to the profile,tap,switch,gray,next_to,profile,last
launch menu,open,menu,NONE,NONE,NONE,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
click icon to the left of the wi-fi,click,icon,NONE,left_of,wi-fi,NONE
tap link,tap,link,NONE,NONE,NONE,NONE
press and hold button to the left of the checkout,long-press,button,NONE,left_of,checkout,NONE
select black text,click,text,black,NONE,NONE,NONE
tap checkbox,tap,checkbox,NONE,NONE,NONE,NONE
copy text below the address,copy,text,NONE,below,address,NONE
scroll down to the 2nd text to the left of the address,scroll,text,NONE,left_of,address,2nd
copy text below the checkout,copy,text,NONE,below,checkout,NONE
open the last link next to the menu,open,link,NONE,next_to,menu,last
trash the 2nd button above the payment,delete,button,NONE,above,payment,2nd
copy the last text,copy,text,NONE,NONE,NONE,last
open the 2nd tab to the left of the cart,open,tab,NONE,left_of,cart,2nd
trash the 3rd image to the right of the address,delete,image,NONE,right_of,address,3rd
launch the 3rd red menu next to the home,open,menu,red,next_to,home,3rd
tap on the 3rd purple checkbox,tap,checkbox,purple,NONE,NONE,3rd
copy text to the left of the settings,copy,text,NONE,left_of,settings,NONE
open green link to the left of the search,open,link,green,left_of,search,NONE
paste the last yellow text,paste,text,yellow,NONE,NONE,last
scroll to the last text above the cart,scroll,text,NONE,above,cart,last
press and hold image to the left of the help,long-press,image,NONE,left_of,help,NONE
paste text to the left of the wi-fi,paste,text,NONE,left_of,wi-fi,NONE
open the last button below the notifications,open,button,NONE,below,notifications,last
copy blue text to the left of the checkout,copy,text,blue,left_of,checkout,NONE
paste text below the first email,paste,text,NONE,below,first email,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
paste purple text above the home,paste,text,purple,above,home,NONE
remove gray button above the last item,delete,button,gray,above,last item,NONE
select icon above the first email,click,icon,NONE,above,first email,NONE
click on switch,click,switch,NONE,NONE,NONE,NONE
press link,click,link,NONE,NONE,NONE,NONE
scroll down to tab above the payment,scroll,tab,NONE,above,payment,NONE
select button,click,button,NONE,NONE,NONE,NONE
tap on the 1st purple checkbox above the menu,tap,checkbox,purple,above,menu,1st
copy the 3rd red text below the login,copy,text,red,below,login,3rd
long-press icon to the left of the first email,long-press,icon,NONE,left_of,first email,NONE
press and hold gray text next to the checkout,long-press,text,gray,next_to,checkout,NONE
paste the 2nd text,paste,text,NONE,NONE,NONE,2nd
copy gray text below the login,copy,text,gray,below,login,NONE
tap link,tap,link,NONE,NONE,NONE,NONE
click on the last yellow link,click,link,yellow,NONE,NONE,last
click text,click,text,NONE,NONE,NONE,NONE
long-press icon,long-press,icon,NONE,NONE,NONE,NONE
launch blue menu,open,menu,blue,NONE,NONE,NONE
copy green text next to the last item,copy,text,green,next_to,last item,NONE
select text above the home,click,text,NONE,above,home,NONE
scroll to gray text,scroll,text,gray,NONE,NONE,NONE
open yellow icon,open,icon,yellow,NONE,NONE,NONE
paste the 3rd text to the left of the home,paste,text,NONE,left_of,home,3rd
copy the 2nd text,copy,text,NONE,NONE,NONE,2nd
click on orange button,click,button,orange,NONE,NONE,NONE
paste text to the left of the search,paste,text,NONE,left_of,search,NONE
open the 3rd yellow icon,open,icon,yellow,NONE,NONE,3rd
launch button to the left of the notifications,open,button,NONE,left_of,notifications,NONE
copy pink text,copy,text,pink,NONE,NONE,NONE
click on button to the right of the settings,click,button,NONE,right_of,settings,NONE
tap link,tap,link,NONE,NONE,NONE,NONE
scroll down to tab,scroll,tab,NONE,NONE,NONE,NONE
delete gray image next to the menu,delete,image,gray,next_to,menu,NONE
launch button next to the payment,open,button,NONE,next_to,payment,NONE
paste text to the right of the address,paste,text,NONE,right_of,address,NONE
open link to the left of the search,open,link,NONE,left_of,search,NONE
long-press the 1st red image to the left of the payment,long-press,image,red,left_of,payment,1st
scroll to the 3rd blue tab next to the address,scroll,tab,blue,next_to,address,3rd
open button to the right of the cart,open,button,NONE,right_of,cart,NONE
press and hold green image next to the login,long-press,image,green,next_to,login,NONE
scroll to text below the cart,scroll,text,NONE,below,cart,NONE
tap on the last icon to the left of the profile,tap,icon,NONE,left_of,profile,last
scroll to the 1st tab to the right of the last item,scroll,tab,NONE,right_of,last item,1st
scroll to text above the payment,scroll,text,NONE,above,payment,NONE
press black tab below the settings,click,tab,black,below,settings,NONE
press and hold text above the first email,long-press,text,NONE,above,first email,NONE
copy gray text above the wi-fi,copy,text,gray,above,wi-fi,NONE
open tab,open,tab,NONE,NONE,NONE,NONE
scroll to text next to the address,scroll,text,NONE,next_to,address,NONE
long-press the 3rd yellow icon above the wi-fi,long-press,icon,yellow,above,wi-fi,3rd
tap link,tap,link,NONE,NONE,NONE,NONE
open the 3rd purple link above the payment,open,link,purple,above,payment,3rd
trash image next to the login,delete,image,NONE,next_to,login,NONE
tap on pink icon,tap,icon,pink,NONE,NONE,NONE
copy the last text,copy,text,NONE,NONE,NONE,last
tap icon next to the help,tap,icon,NONE,next_to,help,NONE
trash black image to the right of the checkout,delete,image,black,right_of,checkout,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
scroll to the 2nd text to the left of the login,scroll,text,NONE,left_of,login,2nd
copy blue text below the notifications,copy,text,blue,below,notifications,NONE
delete purple image,delete,image,purple,NONE,NONE,NONE
copy the last text,copy,text,NONE,NONE,NONE,last
delete image,delete,image,NONE,NONE,NONE,NONE
click link,click,link,NONE,NONE,NONE,NONE
open button above the notifications,open,button,NONE,above,notifications,NONE
long-press image,long-press,image,NONE,NONE,NONE,NONE
paste text next to the cart,paste,text,NONE,next_to,cart,NONE
paste orange text,paste,text,orange,NONE,NONE,NONE
trash text above the checkout,delete,text,NONE,above,checkout,NONE
press tab below the login,click,tab,NONE,below,login,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
trash the last image below the menu,delete,image,NONE,below,menu,last
tap gray icon to the right of the cart,tap,icon,gray,right_of,cart,NONE
paste the 3rd text above the address,paste,text,NONE,above,address,3rd
press and hold the 1st image above the payment,long-press,image,NONE,above,payment,1st
scroll to the 2nd text below the first email,scroll,text,NONE,below,first email,2nd
tap icon above the settings,tap,icon,NONE,above,settings,NONE
tap the 3rd orange button above the address,tap,button,orange,above,address,3rd
remove text to the left of the last item,delete,text,NONE,left_of,last item,NONE
copy text to the right of the menu,copy,text,NONE,right_of,menu,NONE
scroll down to tab to the right of the home,scroll,tab,NONE,right_of,home,NONE
paste green text,paste,text,green,NONE,NONE,NONE
scroll to tab below the address,scroll,tab,NONE,below,address,NONE
press and hold icon above the address,long-press,icon,NONE,above,address,NONE
trash image,delete,image,NONE,NONE,NONE,NONE
click tab next to the profile,click,tab,NONE,next_to,profile,NONE
paste the 2nd yellow text next to the wi-fi,paste,text,yellow,next_to,wi-fi,2nd
press and hold the 2nd image,long-press,image,NONE,NONE,NONE,2nd
paste text,paste,text,NONE,NONE,NONE,NONE
remove the last text above the address,delete,text,NONE,above,address,last
click on checkbox below the first email,click,checkbox,NONE,below,first email,NONE
launch the 2nd menu,open,menu,NONE,NONE,NONE,2nd
click on the 3rd checkbox above the cart,click,checkbox,NONE,above,cart,3rd
open black menu to the left of the settings,open,menu,black,left_of,settings,NONE
launch red tab to the left of the last item,open,tab,red,left_of,last item,NONE
scroll down to menu,scroll,menu,NONE,NONE,NONE,NONE
open menu above the wi-fi,open,menu,NONE,above,wi-fi,NONE
long-press button to the right of the profile,long-press,button,NONE,right_of,profile,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
scroll to tab below the wi-fi,scroll,tab,NONE,below,wi-fi,NONE
press and hold the 3rd pink text to the left of the login,long-press,text,pink,left_of,login,3rd
long-press text,long-press,text,NONE,NONE,NONE,NONE
launch menu to the left of the home,open,menu,NONE,left_of,home,NONE
press tab above the home,click,tab,NONE,above,home,NONE
paste the 2nd pink text to the right of the settings,paste,text,pink,right_of,settings,2nd
long-press yellow button to the left of the cart,long-press,button,yellow,left_of,cart,NONE
remove the 2nd button above the notifications,delete,button,NONE,above,notifications,2nd
remove text,delete,text,NONE,NONE,NONE,NONE
open link,open,link,NONE,NONE,NONE,NONE
copy text below the first email,copy,text,NONE,below,first email,NONE
remove button,delete,button,NONE,NONE,NONE,NONE
press and hold white button next to the last item,long-press,button,white,next_to,last item,NONE
tap checkbox next to the settings,tap,checkbox,NONE,next_to,settings,NONE
long-press gray button next to the search,long-press,button,gray,next_to,search,NONE
copy text to the right of the profile,copy,text,NONE,right_of,profile,NONE
copy text below the payment,copy,text,NONE,below,payment,NONE
scroll down to menu below the wi-fi,scroll,menu,NONE,below,wi-fi,NONE
select the 3rd image to the right of the menu,click,image,NONE,right_of,menu,3rd
click on the 2nd orange button to the right of the wi-fi,click,button,orange,right_of,wi-fi,2nd
paste red text to the left of the login,paste,text,red,left_of,login,NONE
long-press the 2nd yellow icon to the left of the address,long-press,icon,yellow,left_of,address,2nd
remove button,delete,button,NONE,NONE,NONE,NONE
click green button,click,button,green,NONE,NONE,NONE
trash image above the last item,delete,image,NONE,above,last item,NONE
click on gray text to the right of the address,click,text,gray,right_of,address,NONE
click on orange icon,click,icon,orange,NONE,NONE,NONE
long-press the 1st text to the left of the last item,long-press,text,NONE,left_of,last item,1st
click link,click,link,NONE,NONE,NONE,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
click tab to the left of the login,click,tab,NONE,left_of,login,NONE
scroll down to black menu,scroll,menu,black,NONE,NONE,NONE
launch the 1st button to the left of the cart,open,button,NONE,left_of,cart,1st
scroll to tab to the left of the wi-fi,scroll,tab,NONE,left_of,wi-fi,NONE
copy the last text,copy,text,NONE,NONE,NONE,last
copy the last text to the right of the login,copy,text,NONE,right_of,login,last
open green menu to the left of the first email,open,menu,green,left_of,first email,NONE
open icon,open,icon,NONE,NONE,NONE,NONE
open the last white menu,open,menu,white,NONE,NONE,last
paste text,paste,text,NONE,NONE,NONE,NONE
launch tab,open,tab,NONE,NONE,NONE,NONE
remove text,delete,text,NONE,NONE,NONE,NONE
scroll to purple menu above the notifications,scroll,menu,purple,above,notifications,NONE
copy gray text to the right of the login,copy,text,gray,right_of,login,NONE
remove the last image to the right of the settings,delete,image,NONE,right_of,settings,last
tap link below the last item,tap,link,NONE,below,last item,NONE
tap green switch,tap,switch,green,NONE,NONE,NONE
paste the 2nd text below the payment,paste,text,NONE,below,payment,2nd
trash pink image to the right of the first email,delete,image,pink,right_of,first email,NONE
tap on link,tap,link,NONE,NONE,NONE,NONE
delete text above the search,delete,text,NONE,above,search,NONE
press button,click,button,NONE,NONE,NONE,NONE
paste the 1st gray text below the menu,paste,text,gray,below,menu,1st
click on link,click,link,NONE,NONE,NONE,NONE
copy the last text to the right of the search,copy,text,NONE,right_of,search,last
select the last gray link next to the cart,click,link,gray,next_to,cart,last
paste text to the left of the help,paste,text,NONE,left_of,help,NONE
open menu above the profile,open,menu,NONE,above,profile,NONE
scroll to tab to the left of the payment,scroll,tab,NONE,left_of,payment,NONE
click image,click,image,NONE,NONE,NONE,NONE
remove the 3rd blue text below the home,delete,text,blue,below,home,3rd
copy text,copy,text,NONE,NONE,NONE,NONE
open tab,open,tab,NONE,NONE,NONE,NONE
copy purple text,copy,text,purple,NONE,NONE,NONE
