command,intent,target_type,attribute,spatial_relation,spatial_reference,position,intent_id,target_type_id,attribute_id,spatial_relation_id,position_id
copy the 3rd text to the right of the cart,copy,text,NONE,right_of,cart,3rd,2,9,0,5,2
copy text to the left of the help,copy,text,NONE,left_of,help,NONE,2,9,0,3,3
open tab,open,tab,NONE,NONE,NONE,NONE,5,8,0,0,3
long-press purple text next to the checkout,long-press,text,purple,next_to,checkout,NONE,4,9,7,4,3
trash image to the left of the login,delete,image,NONE,left_of,login,NONE,3,4,0,3,3
press and hold the 1st button next to the login,long-press,button,NONE,next_to,login,1st,4,1,0,4,0
trash white image,delete,image,white,NONE,NONE,NONE,3,4,9,0,3
tap the 1st black checkbox to the right of the menu,tap,checkbox,black,right_of,menu,1st,8,2,1,5,0
paste text to the left of the login,paste,text,NONE,left_of,login,NONE,6,9,0,3,3
remove button,delete,button,NONE,NONE,NONE,NONE,3,1,0,0,3
long-press button,long-press,button,NONE,NONE,NONE,NONE,4,1,0,0,3
paste text,paste,text,NONE,NONE,NONE,NONE,6,9,0,0,3
copy green text next to the login,copy,text,green,next_to,login,NONE,2,9,4,4,3
paste text next to the login,paste,text,NONE,next_to,login,NONE,6,9,0,4,3
tap switch next to the last item,tap,switch,NONE,next_to,last item,NONE,8,7,0,4,3
press and hold icon below the checkout,long-press,icon,NONE,below,checkout,NONE,4,3,0,2,3
trash text,delete,text,NONE,NONE,NONE,NONE,3,9,0,0,3
paste the last text above the search,paste,text,NONE,above,search,last,6,9,0,1,4
copy text,copy,text,NONE,NONE,NONE,NONE,2,9,0,0,3
scroll to menu,scroll,menu,NONE,NONE,NONE,NONE,7,6,0,0,3
trash text to the left of the wi-fi,delete,text,NONE,left_of,wi-fi,NONE,3,9,0,3,3
remove text to the left of the notifications,delete,text,NONE,left_of,notifications,NONE,3,9,0,3,3
paste text to the left of the home,paste,text,NONE,left_of,home,NONE,6,9,0,3,3
copy the last text,copy,text,NONE,NONE,NONE,last,2,9,0,0,4
tap on link,tap,link,NONE,NONE,NONE,NONE,8,5,0,0,3
scroll down to the 2nd text below the help,scroll,text,NONE,below,help,2nd,7,9,0,2,1
click red switch to the right of the home,click,switch,red,right_of,home,NONE,1,7,8,5,3
select the 1st purple button below the menu,click,button,purple,below,menu,1st,1,1,7,2,0
copy purple text next to the first email,copy,text,purple,next_to,first email,NONE,2,9,7,4,3
click on button,click,button,NONE,NONE,NONE,NONE,1,1,0,0,3
remove button to the right of the search,delete,button,NONE,right_of,search,NONE,3,1,0,5,3
paste the 1st purple text,paste,text,purple,NONE,NONE,1st,6,9,7,0,0
scroll down to text above the login,scroll,text,NONE,above,login,NONE,7,9,0,1,3
press and hold the 2nd text,long-press,text,NONE,NONE,NONE,2nd,4,9,0,0,1
paste the last text above the wi-fi,paste,text,NONE,above,wi-fi,last,6,9,0,1,4
tap on blue switch to the left of the menu,tap,switch,blue,left_of,menu,NONE,8,7,2,3,3
scroll down to the 2nd gray menu,scroll,menu,gray,NONE,NONE,2nd,7,6,3,0,1
trash the 1st text above the settings,delete,text,NONE,above,settings,1st,3,9,0,1,0
tap icon to the right of the cart,tap,icon,NONE,right_of,cart,NONE,8,3,0,5,3
long-press the 2nd icon to the left of the first email,long-press,icon,NONE,left_of,first email,2nd,4,3,0,3,1
select the last checkbox,click,checkbox,NONE,NONE,NONE,last,1,2,0,0,4
open the 1st icon,open,icon,NONE,NONE,NONE,1st,5,3,0,0,0
tap on orange tab above the settings,tap,tab,orange,above,settings,NONE,8,8,5,1,3
copy text,copy,text,NONE,NONE,NONE,NONE,2,9,0,0,3
copy white text to the right of the last item,copy,text,white,right_of,last item,NONE,2,9,9,5,3
open the last orange icon,open,icon,orange,NONE,NONE,last,5,3,5,0,4
press tab next to the search,click,tab,NONE,next_to,search,NONE,1,8,0,4,3
scroll down to the 3rd white menu above the profile,scroll,menu,white,above,profile,3rd,7,6,9,1,2
long-press the 2nd icon to the right of the checkout,long-press,icon,NONE,right_of,checkout,2nd,4,3,0,5,1
copy text above the menu,copy,text,NONE,above,menu,NONE,2,9,0,1,3
press and hold button,long-press,button,NONE,NONE,NONE,NONE,4,1,0,0,3
long-press the last button above the home,long-press,button,NONE,above,home,last,4,1,0,1,4
launch button to the left of the search,open,button,NONE,left_of,search,NONE,5,1,0,3,3
long-press the 1st text,long-press,text,NONE,NONE,NONE,1st,4,9,0,0,0
copy the last text next to the settings,copy,text,NONE,next_to,settings,last,2,9,0,4,4
copy text below the notifications,copy,text,NONE,below,notifications,NONE,2,9,0,2,3
press the 3rd icon to the right of the profile,click,icon,NONE,right_of,profile,3rd,1,3,0,5,2
scroll down to gray menu below the search,scroll,menu,gray,below,search,NONE,7,6,3,2,3
press and hold button to the left of the address,long-press,button,NONE,left_of,address,NONE,4,1,0,3,3
scroll to text to the right of the help,scroll,text,NONE,right_of,help,NONE,7,9,0,5,3
scroll to menu,scroll,menu,NONE,NONE,NONE,NONE,7,6,0,0,3
select checkbox above the address,click,checkbox,NONE,above,address,NONE,1,2,0,1,3
scroll down to the 3rd yellow menu,scroll,menu,yellow,NONE,NONE,3rd,7,6,10,0,2
tap checkbox to the right of the wi-fi,tap,checkbox,NONE,right_of,wi-fi,NONE,8,2,0,5,3
trash button below the profile,delete,button,NONE,below,profile,NONE,3,1,0,2,3
tap icon next to the login,tap,icon,NONE,next_to,login,NONE,8,3,0,4,3
tap the 1st orange icon to the left of the cart,tap,icon,orange,left_of,cart,1st,8,3,5,3,0
scroll down to the last menu below the cart,scroll,menu,NONE,below,cart,last,7,6,0,2,4
launch link,open,link,NONE,NONE,NONE,NONE,5,5,0,0,3
tap on switch to the right of the login,tap,switch,NONE,right_of,login,NONE,8,7,0,5,3
copy the 3rd black text below the profile,copy,text,black,below,profile,3rd,2,9,1,2,2
press and hold the last button next to the home,long-press,button,NONE,next_to,home,last,4,1,0,4,4
long-press image,long-press,image,NONE,NONE,NONE,NONE,4,4,0,0,3
open white icon to the left of the wi-fi,open,icon,white,left_of,wi-fi,NONE,5,3,9,3,3
copy green text,copy,text,green,NONE,NONE,NONE,2,9,4,0,3
tap black switch,tap,switch,black,NONE,NONE,NONE,8,7,1,0,3
press and hold text to the right of the last item,long-press,text,NONE,right_of,last item,NONE,4,9,0,5,3
scroll down to blue tab to the right of the search,scroll,tab,blue,right_of,search,NONE,7,8,2,5,3
tap link,tap,link,NONE,NONE,NONE,NONE,8,5,0,0,3
open tab,open,tab,NONE,NONE,NONE,NONE,5,8,0,0,3
tap on icon to the right of the help,tap,icon,NONE,right_of,help,NONE,8,3,0,5,3
open menu to the right of the address,open,menu,NONE,right_of,address,NONE,5,6,0,5,3
paste purple text,paste,text,purple,NONE,NONE,NONE,6,9,7,0,3
click red checkbox to the right of the wi-fi,click,checkbox,red,right_of,wi-fi,NONE,1,2,8,5,3
scroll to green tab to the left of the checkout,scroll,tab,green,left_of,checkout,NONE,7,8,4,3,3
press the last link to the right of the address,click,link,NONE,right_of,address,last,1,5,0,5,4
long-press the 2nd icon to the left of the profile,long-press,icon,NONE,left_of,profile,2nd,4,3,0,3,1
remove the 2nd text,delete,text,NONE,NONE,NONE,2nd,3,9,0,0,1
scroll down to text to the right of the last item,scroll,text,NONE,right_of,last item,NONE,7,9,0,5,3
paste gray text,paste,text,gray,NONE,NONE,NONE,6,9,3,0,3
tap on link,tap,link,NONE,NONE,NONE,NONE,8,5,0,0,3
long-press button to the right of the payment,long-press,button,NONE,right_of,payment,NONE,4,1,0,5,3
tap tab next to the last item,tap,tab,NONE,next_to,last item,NONE,8,8,0,4,3
paste text next to the address,paste,text,NONE,next_to,address,NONE,6,9,0,4,3
remove the last button to the right of the cart,delete,button,NONE,right_of,cart,last,3,1,0,5,4
open the last button below the notifications,open,button,NONE,below,notifications,last,5,1,0,2,4
scroll to text to the right of the wi-fi,scroll,text,NONE,right_of,wi-fi,NONE,7,9,0,5,3
scroll to tab to the right of the last item,scroll,tab,NONE,right_of,last item,NONE,7,8,0,5,3
press icon below the last item,click,icon,NONE,below,last item,NONE,1,3,0,2,3
select button to the right of the first email,click,button,NONE,right_of,first email,NONE,1,1,0,5,3
press and hold the 3rd blue button,long-press,button,blue,NONE,NONE,3rd,4,1,2,0,2
delete white button above the first email,delete,button,white,above,first email,NONE,3,1,9,1,3
scroll down to white menu below the cart,scroll,menu,white,below,cart,NONE,7,6,9,2,3
press and hold purple icon to the left of the help,long-press,icon,purple,left_of,help,NONE,4,3,7,3,3
copy the 2nd white text to the right of the wi-fi,copy,text,white,right_of,wi-fi,2nd,2,9,9,5,1
scroll to the last tab above the wi-fi,scroll,tab,NONE,above,wi-fi,last,7,8,0,1,4
press and hold image to the right of the checkout,long-press,image,NONE,right_of,checkout,NONE,4,4,0,5,3
tap on switch below the wi-fi,tap,switch,NONE,below,wi-fi,NONE,8,7,0,2,3
tap the 1st icon,tap,icon,NONE,NONE,NONE,1st,8,3,0,0,0
remove button,delete,button,NONE,NONE,NONE,NONE,3,1,0,0,3
long-press image to the right of the last item,long-press,image,NONE,right_of,last item,NONE,4,4,0,5,3
long-press gray icon,long-press,icon,gray,NONE,NONE,NONE,4,3,3,0,3
scroll to the last menu above the payment,scroll,menu,NONE,above,payment,last,7,6,0,1,4
paste white text next to the profile,paste,text,white,next_to,profile,NONE,6,9,9,4,3
press tab,click,tab,NONE,NONE,NONE,NONE,1,8,0,0,3
long-press the 3rd gray icon,long-press,icon,gray,NONE,NONE,3rd,4,3,3,0,2
paste text above the address,paste,text,NONE,above,address,NONE,6,9,0,1,3
open the 2nd icon to the left of the help,open,icon,NONE,left_of,help,2nd,5,3,0,3,1
open menu above the first email,open,menu,NONE,above,first email,NONE,5,6,0,1,3
open the last white tab,open,tab,white,NONE,NONE,last,5,8,9,0,4
open yellow menu,open,menu,yellow,NONE,NONE,NONE,5,6,10,0,3
paste the 2nd text above the checkout,paste,text,NONE,above,checkout,2nd,6,9,0,1,1
click on the 2nd blue text next to the cart,click,text,blue,next_to,cart,2nd,1,9,2,4,1
press the 1st checkbox next to the login,click,checkbox,NONE,next_to,login,1st,1,2,0,4,0
launch link above the payment,open,link,NONE,above,payment,NONE,5,5,0,1,3
open the last purple tab to the left of the menu,open,tab,purple,left_of,menu,last,5,8,7,3,4
press and hold the 1st black icon,long-press,icon,black,NONE,NONE,1st,4,3,1,0,0
delete button,delete,button,NONE,NONE,NONE,NONE,3,1,0,0,3
copy white text next to the profile,copy,text,white,next_to,profile,NONE,2,9,9,4,3
tap on link above the address,tap,link,NONE,above,address,NONE,8,5,0,1,3
trash text to the left of the home,delete,text,NONE,left_of,home,NONE,3,9,0,3,3
click pink tab above the cart,click,tab,pink,above,cart,NONE,1,8,6,1,3
copy red text to the left of the home,copy,text,red,left_of,home,NONE,2,9,8,3,3
copy text,copy,text,NONE,NONE,NONE,NONE,2,9,0,0,3
paste green text below the settings,paste,text,green,below,settings,NONE,6,9,4,2,3
copy text next to the menu,copy,text,NONE,next_to,menu,NONE,2,9,0,4,3
tap link to the right of the profile,tap,link,NONE,right_of,profile,NONE,8,5,0,5,3
launch the 1st menu to the right of the payment,open,menu,NONE,right_of,payment,1st,5,6,0,5,0
click on black text to the left of the payment,click,text,black,left_of,payment,NONE,1,9,1,3,3
tap the 3rd icon to the left of the payment,tap,icon,NONE,left_of,payment,3rd,8,3,0,3,2
launch link below the payment,open,link,NONE,below,payment,NONE,5,5,0,2,3
select the 2nd gray icon above the help,click,icon,gray,above,help,2nd,1,3,3,1,1
long-press green icon to the left of the notifications,long-press,icon,green,left_of,notifications,NONE,4,3,4,3,3
launch icon next to the last item,open,icon,NONE,next_to,last item,NONE,5,3,0,4,3
paste the 1st text,paste,text,NONE,NONE,NONE,1st,6,9,0,0,0
delete button,delete,button,NONE,NONE,NONE,NONE,3,1,0,0,3
scroll down to text,scroll,text,NONE,NONE,NONE,NONE,7,9,0,0,3
paste pink text next to the payment,paste,text,pink,next_to,payment,NONE,6,9,6,4,3
launch tab,open,tab,NONE,NONE,NONE,NONE,5,8,0,0,3
open icon to the right of the first email,open,icon,NONE,right_of,first email,NONE,5,3,0,5,3
click image above the login,click,image,NONE,above,login,NONE,1,4,0,1,3
trash button below the login,delete,button,NONE,below,login,NONE,3,1,0,2,3
click text next to the last item,click,text,NONE,next_to,last item,NONE,1,9,0,4,3
scroll to purple menu below the login,scroll,menu,purple,below,login,NONE,7,6,7,2,3
long-press button below the notifications,long-press,button,NONE,below,notifications,NONE,4,1,0,2,3
scroll to the 1st tab to the left of the first email,scroll,tab,NONE,left_of,first email,1st,7,8,0,3,0
tap black tab next to the settings,tap,tab,black,next_to,settings,NONE,8,8,1,4,3
copy the last text next to the checkout,copy,text,NONE,next_to,checkout,last,2,9,0,4,4
select link above the notifications,click,link,NONE,above,notifications,NONE,1,5,0,1,3
copy the last white text,copy,text,white,NONE,NONE,last,2,9,9,0,4
trash button,delete,button,NONE,NONE,NONE,NONE,3,1,0,0,3
copy text to the right of the cart,copy,text,NONE,right_of,cart,NONE,2,9,0,5,3
delete yellow image next to the login,delete,image,yellow,next_to,login,NONE,3,4,10,4,3
scroll to the 3rd yellow text,scroll,text,yellow,NONE,NONE,3rd,7,9,10,0,2
copy text to the right of the last item,copy,text,NONE,right_of,last item,NONE,2,9,0,5,3
long-press red button,long-press,button,red,NONE,NONE,NONE,4,1,8,0,3
long-press icon,long-press,icon,NONE,NONE,NONE,NONE,4,3,0,0,3
scroll down to the 1st text above the address,scroll,text,NONE,above,address,1st,7,9,0,1,0
paste text,paste,text,NONE,NONE,NONE,NONE,6,9,0,0,3
remove button,delete,button,NONE,NONE,NONE,NONE,3,1,0,0,3
press and hold white icon to the right of the profile,long-press,icon,white,right_of,profile,NONE,4,3,9,5,3
tap on link,tap,link,NONE,NONE,NONE,NONE,8,5,0,0,3
press and hold the 1st image below the payment,long-press,image,NONE,below,payment,1st,4,4,0,2,0
open the 1st orange icon,open,icon,orange,NONE,NONE,1st,5,3,5,0,0
press the 1st text below the help,click,text,NONE,below,help,1st,1,9,0,2,0
click on icon,click,icon,NONE,NONE,NONE,NONE,1,3,0,0,3
scroll down to the 3rd tab,scroll,tab,NONE,NONE,NONE,3rd,7,8,0,0,2
tap icon below the login,tap,icon,NONE,below,login,NONE,8,3,0,2,3
paste the 2nd text,paste,text,NONE,NONE,NONE,2nd,6,9,0,0,1
copy the last gray text,copy,text,gray,NONE,NONE,last,2,9,3,0,4
open tab,open,tab,NONE,NONE,NONE,NONE,5,8,0,0,3
scroll down to tab,scroll,tab,NONE,NONE,NONE,NONE,7,8,0,0,3
trash text above the last item,delete,text,NONE,above,last item,NONE,3,9,0,1,3
scroll to the 3rd green text below the address,scroll,text,green,below,address,3rd,7,9,4,2,2
copy text to the left of the profile,copy,text,NONE,left_of,profile,NONE,2,9,0,3,3
remove the last red text,delete,text,red,NONE,NONE,last,3,9,8,0,4
paste text below the cart,paste,text,NONE,below,cart,NONE,6,9,0,2,3
launch button above the settings,open,button,NONE,above,settings,NONE,5,1,0,1,3
open button above the last item,open,button,NONE,above,last item,NONE,5,1,0,1,3
press and hold text above the checkout,long-press,text,NONE,above,checkout,NONE,4,9,0,1,3
tap button to the left of the address,tap,button,NONE,left_of,address,NONE,8,1,0,3,3
paste the 2nd black text to the left of the cart,paste,text,black,left_of,cart,2nd,6,9,1,3,1
paste text,paste,text,NONE,NONE,NONE,NONE,6,9,0,0,3
remove green image,delete,image,green,NONE,NONE,NONE,3,4,4,0,3
select checkbox below the wi-fi,click,checkbox,NONE,below,wi-fi,NONE,1,2,0,2,3
click on icon next to the menu,click,icon,NONE,next_to,menu,NONE,1,3,0,4,3
copy the 1st text above the search,copy,text,NONE,above,search,1st,2,9,0,1,0
press and hold icon,long-press,icon,NONE,NONE,NONE,NONE,4,3,0,0,3
copy text,copy,text,NONE,NONE,NONE,NONE,2,9,0,0,3
click green link below the payment,click,link,green,below,payment,NONE,1,5,4,2,3
trash pink image above the first email,delete,image,pink,above,first email,NONE,3,4,6,1,3
remove gray text,delete,text,gray,NONE,NONE,NONE,3,9,3,0,3
delete button below the profile,delete,button,NONE,below,profile,NONE,3,1,0,2,3
paste orange text,paste,text,orange,NONE,NONE,NONE,6,9,5,0,3
open the 1st button above the settings,open,button,NONE,above,settings,1st,5,1,0,1,0
paste text to the right of the menu,paste,text,NONE,right_of,menu,NONE,6,9,0,5,3
tap on icon,tap,icon,NONE,NONE,NONE,NONE,8,3,0,0,3
trash image to the right of the cart,delete,image,NONE,right_of,cart,NONE,3,4,0,5,3
press and hold button next to the address,long-press,button,NONE,next_to,address,NONE,4,1,0,4,3
scroll down to menu,scroll,menu,NONE,NONE,NONE,NONE,7,6,0,0,3
paste blue text to the left of the notifications,paste,text,blue,left_of,notifications,NONE,6,9,2,3,3
paste pink text next to the cart,paste,text,pink,next_to,cart,NONE,6,9,6,4,3
copy gray text to the right of the first email,copy,text,gray,right_of,first email,NONE,2,9,3,5,3
scroll down to text,scroll,text,NONE,NONE,NONE,NONE,7,9,0,0,3
click the 2nd checkbox to the left of the profile,click,checkbox,NONE,left_of,profile,2nd,1,2,0,3,1
paste text below the search,paste,text,NONE,below,search,NONE,6,9,0,2,3
trash the 3rd blue button,delete,button,blue,NONE,NONE,3rd,3,1,2,0,2
trash image,delete,image,NONE,NONE,NONE,NONE,3,4,0,0,3
press the 1st text to the left of the payment,click,text,NONE,left_of,payment,1st,1,9,0,3,0
copy purple text,copy,text,purple,NONE,NONE,NONE,2,9,7,0,3
open green icon to the left of the address,open,icon,green,left_of,address,NONE,5,3,4,3,3
delete text,delete,text,NONE,NONE,NONE,NONE,3,9,0,0,3
long-press the 3rd purple text next to the home,long-press,text,purple,next_to,home,3rd,4,9,7,4,2
paste black text next to the home,paste,text,black,next_to,home,NONE,6,9,1,4,3
long-press the last green icon to the left of the checkout,long-press,icon,green,left_of,checkout,last,4,3,4,3,4
click on switch next to the profile,click,switch,NONE,next_to,profile,NONE,1,7,0,4,3
long-press the 2nd image,long-press,image,NONE,NONE,NONE,2nd,4,4,0,0,1
copy the 1st text below the payment,copy,text,NONE,below,payment,1st,2,9,0,2,0
copy the 2nd blue text,copy,text,blue,NONE,NONE,2nd,2,9,2,0,1
copy the 1st text to the left of the cart,copy,text,NONE,left_of,cart,1st,2,9,0,3,0
click on icon to the left of the last item,click,icon,NONE,left_of,last item,NONE,1,3,0,3,3
select black image to the right of the address,click,image,black,right_of,address,NONE,1,4,1,5,3
click on red switch to the left of the search,click,switch,red,left_of,search,NONE,1,7,8,3,3
paste green text below the settings,paste,text,green,below,settings,NONE,6,9,4,2,3
long-press white image to the left of the address,long-press,image,white,left_of,address,NONE,4,4,9,3,3
copy text above the checkout,copy,text,NONE,above,checkout,NONE,2,9,0,1,3
open tab above the menu,open,tab,NONE,above,menu,NONE,5,8,0,1,3
delete the 1st image,delete,image,NONE,NONE,NONE,1st,3,4,0,0,0
click gray checkbox,click,checkbox,gray,NONE,NONE,NONE,1,2,3,0,3
click text to the left of the first email,click,text,NONE,left_of,first email,NONE,1,9,0,3,3
copy white text to the right of the last item,copy,text,white,right_of,last item,NONE,2,9,9,5,3
paste the 2nd purple text to the left of the checkout,paste,text,purple,left_of,checkout,2nd,6,9,7,3,1
long-press text below the search,long-press,text,NONE,below,search,NONE,4,9,0,2,3
launch link,open,link,NONE,NONE,NONE,NONE,5,5,0,0,3
copy black text to the left of the menu,copy,text,black,left_of,menu,NONE,2,9,1,3,3
tap on the last link below the search,tap,link,NONE,below,search,last,8,5,0,2,4
copy text,copy,text,NONE,NONE,NONE,NONE,2,9,0,0,3
open the 2nd button above the profile,open,button,NONE,above,profile,2nd,5,1,0,1,1
long-press green image,long-press,image,green,NONE,NONE,NONE,4,4,4,0,3
copy yellow text above the search,copy,text,yellow,above,search,NONE,2,9,10,1,3
tap orange tab,tap,tab,orange,NONE,NONE,NONE,8,8,5,0,3
tap gray icon above the payment,tap,icon,gray,above,payment,NONE,8,3,3,1,3
delete button above the wi-fi,delete,button,NONE,above,wi-fi,NONE,3,1,0,1,3
press and hold purple text,long-press,text,purple,NONE,NONE,NONE,4,9,7,0,3
remove button,delete,button,NONE,NONE,NONE,NONE,3,1,0,0,3
long-press red icon next to the first email,long-press,icon,red,next_to,first email,NONE,4,3,8,4,3
tap blue button next to the help,tap,button,blue,next_to,help,NONE,8,1,2,4,3
long-press black text above the payment,long-press,text,black,above,payment,NONE,4,9,1,1,3
paste the last text below the last item,paste,text,NONE,below,last item,last,6,9,0,2,4
press and hold the 1st button,long-press,button,NONE,NONE,NONE,1st,4,1,0,0,0
copy the 3rd text below the wi-fi,copy,text,NONE,below,wi-fi,3rd,2,9,0,2,2
scroll down to text,scroll,text,NONE,NONE,NONE,NONE,7,9,0,0,3
scroll to the last menu next to the wi-fi,scroll,menu,NONE,next_to,wi-fi,last,7,6,0,4,4
open purple tab to the left of the search,open,tab,purple,left_of,search,NONE,5,8,7,3,3
scroll to blue text below the login,scroll,text,blue,below,login,NONE,7,9,2,2,3
paste the 1st pink text above the profile,paste,text,pink,above,profile,1st,6,9,6,1,0
copy the 1st text to the right of the menu,copy,text,NONE,right_of,menu,1st,2,9,0,5,0
copy the 2nd text,copy,text,NONE,NONE,NONE,2nd,2,9,0,0,1
select blue switch to the left of the address,click,switch,blue,left_of,address,NONE,1,7,2,3,3
launch red button above the search,open,button,red,above,search,NONE,5,1,8,1,3
copy text,copy,text,NONE,NONE,NONE,NONE,2,9,0,0,3
remove green button next to the home,delete,button,green,next_to,home,NONE,3,1,4,4,3
copy yellow text above the search,copy,text,yellow,above,search,NONE,2,9,10,1,3
long-press button to the right of the first email,long-press,button,NONE,right_of,first email,NONE,4,1,0,5,3
open yellow tab below the last item,open,tab,yellow,below,last item,NONE,5,8,10,2,3
paste the 3rd text below the payment,paste,text,NONE,below,payment,3rd,6,9,0,2,2
paste text to the left of the search,paste,text,NONE,left_of,search,NONE,6,9,0,3,3
copy text above the checkout,copy,text,NONE,above,checkout,NONE,2,9,0,1,3
long-press icon,long-press,icon,NONE,NONE,NONE,NONE,4,3,0,0,3
paste yellow text below the cart,paste,text,yellow,below,cart,NONE,6,9,10,2,3
copy white text,copy,text,white,NONE,NONE,NONE,2,9,9,0,3
press and hold text to the right of the first email,long-press,text,NONE,right_of,first email,NONE,4,9,0,5,3
delete image above the menu,delete,image,NONE,above,menu,NONE,3,4,0,1,3
scroll down to the last yellow tab,scroll,tab,yellow,NONE,NONE,last,7,8,10,0,4
long-press image next to the search,long-press,image,NONE,next_to,search,NONE,4,4,0,4,3
launch the 1st tab next to the cart,open,tab,NONE,next_to,cart,1st,5,8,0,4,0
long-press text above the address,long-press,text,NONE,above,address,NONE,4,9,0,1,3
press red button below the home,click,button,red,below,home,NONE,1,1,8,2,3
remove text next to the menu,delete,text,NONE,next_to,menu,NONE,3,9,0,4,3
press switch to the right of the address,click,switch,NONE,right_of,address,NONE,1,7,0,5,3
click the 2nd link to the right of the payment,click,link,NONE,right_of,payment,2nd,1,5,0,5,1
scroll to pink menu above the notifications,scroll,menu,pink,above,notifications,NONE,7,6,6,1,3
launch the 2nd gray tab next to the cart,open,tab,gray,next_to,cart,2nd,5,8,3,4,1
tap on switch next to the profile,tap,switch,NONE,next_to,profile,NONE,8,7,0,4,3
select link,click,link,NONE,NONE,NONE,NONE,1,5,0,0,3
paste red text,paste,text,red,NONE,NONE,NONE,6,9,8,0,3
long-press the last gray icon next to the last item,long-press,icon,gray,next_to,last item,last,4,3,3,4,4
paste text,paste,text,NONE,NONE,NONE,NONE,6,9,0,0,3
paste the 1st text next to the settings,paste,text,NONE,next_to,settings,1st,6,9,0,4,0
launch icon,open,icon,NONE,NONE,NONE,NONE,5,3,0,0,3
remove image,delete,image,NONE,NONE,NONE,NONE,3,4,0,0,3
remove button below the profile,delete,button,NONE,below,profile,NONE,3,1,0,2,3
press and hold button to the right of the help,long-press,button,NONE,right_of,help,NONE,4,1,0,5,3
scroll to menu to the right of the help,scroll,menu,NONE,right_of,help,NONE,7,6,0,5,3
press and hold the 2nd text,long-press,text,NONE,NONE,NONE,2nd,4,9,0,0,1
copy text next to the notifications,copy,text,NONE,next_to,notifications,NONE,2,9,0,4,3
open the last menu below the last item,open,menu,NONE,below,last item,last,5,6,0,2,4
tap blue tab next to the profile,tap,tab,blue,next_to,profile,NONE,8,8,2,4,3
copy text above the home,copy,text,NONE,above,home,NONE,2,9,0,1,3
copy text below the settings,copy,text,NONE,below,settings,NONE,2,9,0,2,3
delete the last button,delete,button,NONE,NONE,NONE,last,3,1,0,0,4
tap icon below the first email,tap,icon,NONE,below,first email,NONE,8,3,0,2,3
long-press the 1st button,long-press,button,NONE,NONE,NONE,1st,4,1,0,0,0
scroll down to menu,scroll,menu,NONE,NONE,NONE,NONE,7,6,0,0,3
launch pink tab above the first email,open,tab,pink,above,first email,NONE,5,8,6,1,3
copy text next to the last item,copy,text,NONE,next_to,last item,NONE,2,9,0,4,3
scroll to the 1st menu,scroll,menu,NONE,NONE,NONE,1st,7,6,0,0,0
long-press image above the checkout,long-press,image,NONE,above,checkout,NONE,4,4,0,1,3
scroll to the 1st tab to the left of the first email,scroll,tab,NONE,left_of,first email,1st,7,8,0,3,0
long-press yellow image,long-press,image,yellow,NONE,NONE,NONE,4,4,10,0,3
tap on link,tap,link,NONE,NONE,NONE,NONE,8,5,0,0,3
long-press blue icon above the address,long-press,icon,blue,above,address,NONE,4,3,2,1,3
select text,click,text,NONE,NONE,NONE,NONE,1,9,0,0,3
select icon next to the first email,click,icon,NONE,next_to,first email,NONE,1,3,0,4,3
scroll to the 2nd text above the settings,scroll,text,NONE,above,settings,2nd,7,9,0,1,1
press and hold button to the left of the help,long-press,button,NONE,left_of,help,NONE,4,1,0,3,3
select blue image to the right of the search,click,image,blue,right_of,search,NONE,1,4,2,5,3
delete the last white image to the left of the menu,delete,image,white,left_of,menu,last,3,4,9,3,4
scroll to text,scroll,text,NONE,NONE,NONE,NONE,7,9,0,0,3
select the 2nd image,click,image,NONE,NONE,NONE,2nd,1,4,0,0,1
scroll down to menu to the right of the first email,scroll,menu,NONE,right_of,first email,NONE,7,6,0,5,3
trash the 2nd text to the right of the cart,delete,text,NONE,right_of,cart,2nd,3,9,0,5,1
delete the 2nd image to the left of the checkout,delete,image,NONE,left_of,checkout,2nd,3,4,0,3,1
scroll to the 3rd text above the payment,scroll,text,NONE,above,payment,3rd,7,9,0,1,2
press switch,click,switch,NONE,NONE,NONE,NONE,1,7,0,0,3
paste the 1st blue text to the left of the last item,paste,text,blue,left_of,last item,1st,6,9,2,3,0
copy text below the settings,copy,text,NONE,below,settings,NONE,2,9,0,2,3
paste text,paste,text,NONE,NONE,NONE,NONE,6,9,0,0,3
scroll to tab to the left of the profile,scroll,tab,NONE,left_of,profile,NONE,7,8,0,3,3
long-press text next to the first email,long-press,text,NONE,next_to,first email,NONE,4,9,0,4,3
paste gray text below the address,paste,text,gray,below,address,NONE,6,9,3,2,3
select link above the first email,click,link,NONE,above,first email,NONE,1,5,0,1,3
scroll to menu next to the cart,scroll,menu,NONE,next_to,cart,NONE,7,6,0,4,3
open pink tab next to the checkout,open,tab,pink,next_to,checkout,NONE,5,8,6,4,3
copy the 1st text to the right of the checkout,copy,text,NONE,right_of,checkout,1st,2,9,0,5,0
tap on link next to the address,tap,link,NONE,next_to,address,NONE,8,5,0,4,3
open menu,open,menu,NONE,NONE,NONE,NONE,5,6,0,0,3
remove the 3rd purple image to the right of the checkout,delete,image,purple,right_of,checkout,3rd,3,4,7,5,2
long-press gray text next to the home,long-press,text,gray,next_to,home,NONE,4,9,3,4,3
remove the last pink button to the right of the payment,delete,button,pink,right_of,payment,last,3,1,6,5,4
tap on button next to the checkout,tap,button,NONE,next_to,checkout,NONE,8,1,0,4,3
